ip;port;botnet
201.94.166.162;443;Epoch4
202.134.4.210;7080;Epoch5
202.28.34.99;8080;Epoch5
202.29.239.161;443;Epoch5
202.29.239.162;443;Epoch5
203.114.109.124;443;Epoch4
203.153.216.46;443;Epoch5
206.188.212.92;8080;Epoch4
206.189.28.199;8080;Epoch4
207.148.81.119;8080;Epoch5
207.38.84.195;8080;Epoch4
207.99.27.28;8080;Epoch4
209.126.98.206;8080;Epoch4
209.15.236.39;8080;Epoch4
209.239.112.82;8080;Epoch5
209.250.246.206;443;Epoch4
209.59.138.75;7080;Epoch4
209.97.163.214;443;Epoch4
210.57.209.142;8080;Epoch5
210.57.217.132;8080;Epoch4
212.237.17.99;8080;Epoch4
212.237.5.209;443;Epoch4
212.237.56.116;7080;Epoch4
212.24.98.99;8080;Epoch4
213.190.4.223;7080;Epoch4
213.32.75.32;8080;Epoch4
216.10.251.121;8080;Epoch5
216.120.236.62;8080;Epoch4
216.158.226.206;443;Epoch4
217.160.107.189;8080;Epoch4
217.182.143.207;443;Epoch4
217.182.143.207;443;Epoch5
217.182.143.248;8080;Epoch4
217.182.25.250;8080;Epoch4
217.182.78.224;443;Epoch4
217.79.180.211;8080;Epoch4
23.246.204.126;443;Epoch4
24.152.37.138;443;Epoch4
27.254.174.84;8080;Epoch5
27.54.89.58;8080;Epoch4
31.207.89.74;8080;Epoch4
31.24.158.56;8080;Epoch4
36.67.23.59;443;Epoch5
37.247.35.132;8080;Epoch4
37.44.244.177;8080;Epoch5
37.59.209.141;8080;Epoch5
41.76.108.46;8080;Epoch4
45.118.115.99;8080;Epoch4
45.118.135.203;7080;Epoch4
45.13.132.26;8080;Epoch5
45.138.98.34;80;Epoch5
45.142.114.231;8080;Epoch4
45.15.23.184;443;Epoch4
45.176.232.124;443;Epoch4
45.176.232.125;443;Epoch4
45.184.36.10;8080;Epoch4
45.235.8.30;8080;Epoch4
45.55.63.166;8080;Epoch4
45.63.5.129;443;Epoch5
45.71.195.104;8080;Epoch5
45.76.1.145;443;Epoch4
45.76.159.214;8080;Epoch4
45.76.176.10;8080;Epoch4
45.79.173.200;443;Epoch4
45.79.33.48;8080;Epoch5
45.79.80.198;443;Epoch5
45.80.148.200;443;Epoch4
46.41.130.218;8080;Epoch5
46.55.222.11;443;Epoch4
47.110.149.223;7080;Epoch4
47.110.149.223;8080;Epoch4
49.231.16.102;8080;Epoch4
5.189.160.61;443;Epoch5
5.56.132.177;8080;Epoch5
5.9.116.246;8080;Epoch4
50.116.19.225;8080;Epoch4
50.116.54.215;443;Epoch4
50.30.40.196;8080;Epoch4
51.15.4.22;443;Epoch4
51.178.186.134;443;Epoch4
51.178.61.60;443;Epoch5
51.210.176.76;443;Epoch4
51.210.242.234;8080;Epoch5
51.254.140.238;7080;Epoch4
51.38.71.0;443;Epoch4
51.68.141.164;8080;Epoch5
51.68.175.8;8080;Epoch4
51.75.33.122;443;Epoch5
51.77.82.125;443;Epoch4
51.79.205.117;8080;Epoch4
51.91.142.158;80;Epoch4
51.91.7.5;8080;Epoch4
51.91.76.89;8080;Epoch4
54.36.185.63;443;Epoch5
54.36.98.59;7080;Epoch4
54.37.106.167;8080;Epoch5
54.37.212.235;80;Epoch4
54.37.228.122;443;Epoch5
54.37.70.105;8080;Epoch4
54.38.143.246;7080;Epoch5
54.38.242.185;443;Epoch5
58.227.42.236;80;Epoch4
59.148.253.194;443;Epoch5
61.7.231.226;443;Epoch5
61.7.231.229;443;Epoch5
62.141.45.103;443;Epoch5
62.171.178.147;8080;Epoch5
62.75.251.60;8080;Epoch4
66.42.55.5;7080;Epoch4
66.42.57.149;443;Epoch5
67.205.162.68;8080;Epoch4
68.183.62.61;8080;Epoch5
68.183.84.74;8080;Epoch4
68.183.91.111;8080;Epoch5
68.183.93.250;443;Epoch5
68.183.94.239;80;Epoch4
69.16.218.101;8080;Epoch5
69.197.160.180;8080;Epoch4
70.36.102.35;443;Epoch4
72.15.201.15;8080;Epoch4
74.207.230.120;8080;Epoch5
74.63.218.139;443;Epoch4
77.81.247.144;8080;Epoch4
78.31.66.214;443;Epoch4
78.46.73.125;443;Epoch5
78.47.204.80;443;Epoch5
79.137.35.198;8080;Epoch4
79.143.186.143;8080;Epoch4
79.143.187.147;443;Epoch4
79.172.212.216;8080;Epoch4
8.9.11.48;443;Epoch4
80.211.107.116;8080;Epoch5
80.211.3.13;8080;Epoch4
80.241.218.90;8080;Epoch4
81.0.236.90;443;Epoch4
81.0.236.93;443;Epoch4
82.165.145.100;8080;Epoch4
82.165.152.127;8080;Epoch4
85.214.67.203;8080;Epoch5
85.214.93.93;8080;Epoch5
85.25.120.45;8080;Epoch5
87.106.97.83;7080;Epoch5
88.217.172.165;8080;Epoch5
89.32.148.223;443;Epoch4
91.200.186.228;443;Epoch4
91.207.181.106;8080;Epoch4
91.207.28.33;8080;Epoch4
92.240.254.110;8080;Epoch4
93.104.208.37;8080;Epoch5
93.104.209.107;8080;Epoch5
93.104.209.56;8080;Epoch4
94.177.178.26;8080;Epoch5
94.177.248.64;443;Epoch4
94.23.45.86;4143;Epoch4
94.23.45.86;4143;Epoch5
94.23.45.86;8082;Epoch5
96.125.171.165;4143;Epoch4
