Hash,URL,Signature
5a3e61eab1551f1459ec1a0303f5b37b981161c21bf7d1818893415711e52cc1,http://195.178.136.19/6.exe,LockBit
023280288a154681b1652c24289acc49e44beb65e1f12948aee25dad981b3e0e,http://195.178.136.19/5.exe,LockBit
db176add8daa4f1b68ad74b7ed6a123003a7705badcd119086f4f5d9f4083469,http://195.178.136.19/4.exe,LockBit
6c0127433f689c0861355352460f7dc6b6ae3d86aa7db0747e60b3b9a18c4a87,http://195.178.136.19/3.exe,LockBit
41fb6be80f588c9e7823f862baf7b43dff49206a1c45f8a03e3dbd5f15678e14,http://195.178.136.19/2.exe,LockBit
1d218f810f262659fc2b6fa8a42b2fe217580666546ff802840a1350624766f0,http://195.178.136.19/1.exe,LockBit
08aeadb7453ab5762b51609871c7b15782af7025a349516a4b4f905d6c7be871,http://195.178.136.19/4,Phorpiex
21f13ddfa4edaf7ae54a076e6f9fff2e9d8233581b610960934d35235b52071a,http://195.178.136.19/4,Phorpiex
cc57c7cfed94cb9e9a894e236cab91920c80a3d91631e87803aebf71538e7cd4,http://195.178.136.19/4,Phorpiex
18b0a373fee639afec0052399177599f32f4b70bcfecc5ae0a34d82e400310a1,http://195.178.136.19/3,Phorpiex
6b7c767694aa1cdf7429f364c0c104b32f738203c8c60b5f25a6e2f6a66a71fa,http://195.178.136.19/forg,Phorpiex
74fcf1e27180d840b8de78ec4cfbb48e5b7a43f13c579c9afbef17fc2b47ac02,http://195.178.136.19/4,Phorpiex
37b08b5131a17565009d980f1b3c2a6879383040528d73d34e149f8078282ab9,http://195.178.136.19/4,Phorpiex
359c1e71740dd3ee3556e1c392a72b943960c4f46cf003cd4671775e71788287,http://178.16.54.109/l15.exe,Global
766f430544751677d52fb8602a6eb27a8fea7513826aa99319017209c1970029,http://178.16.54.109/l14.exe,Global
3be21ac37d8c817b71ea520d2f4354f0c606fca4cc6a48742b2de87f358af79c,http://178.16.54.109/l13.exe,Global
5d414a6cb575b89d11cf5cf37c554c29189130e3d8841e9f60ae5b5c08a2d5e7,http://178.16.54.109/l11.exe,Global
d6283822fc330342132cf753d3ff0dda6bf30946af6251259e6f98141a1eec0d,http://178.16.54.109/l10.exe,Global
5b872f26adfff2b63bd91ca50847e3fd19a6c612ee089a6953bdad00214f8df2,http://178.16.54.109/l9.exe,Global
c62850ec00e38c48999b2cf8fdd1f256d71dfb24c103bfdfb32e045b7f693990,http://178.16.54.109/l8.exe,Global
62715d8a00ed60ebf4736d825628a2c0c6faaa3f9b567b393343f79caff1c965,http://178.16.54.109/l7.exe,Global
8ae4a61d7dff97b03be346edad80a6f9dbf91d00a505e100fe5a27070c809ab7,http://178.16.54.109/l6.exe,Global
1582320a0c27d70bde7a97cbe53682dab83efc95124f5e2449bd066960c7e5b9,http://178.16.54.109/l5.exe,Global
8d49e40a0d85cb05aeaa152977bcd5e34e9219e3cf4b1a25e1e968888616aadb,http://178.16.54.109/l4.exe,Global
40dbcc2249f5c32ff8aaa62dfa0b9e6df34c2bdd0fbc1348fca4a0f014995756,http://178.16.54.109/l3.exe,Global
a950a8fdd0d8f7f6e86bd475c3f71381ef4536539e7c50e2aeb6304ae56570e7,http://178.16.54.109/l2.exe,Global
a0d8032ea8d64e4a7bb6ff292b236955d8239c5826fdcc76b32dbf96cb824acc,http://178.16.54.109/l1.exe,Global
dace0ace114449ffb03a07902681e2502a507b2968d0d72436fd50f1fbdad9cb,http://195.178.136.19/3,Phorpiex
553972250e6766defd1125152eef38c0b8024e9ba2d65c5ca83ef1d04a1685eb,http://195.178.136.19/1,Phorpiex
b9b52cc15fa1c03663a49c10af56e8f7aaa786d7688a75176d6fbfb779e8faca,http://195.178.136.19/5,Phorpiex
26b441b6ac06968d8029babb90fba7927e1d21c9cb84b0492c4890bca5dd2660,http://195.178.136.19/4,Phorpiex
a030ac4b770f87ded6b1c7c051171f02708c2d63680a9ee01afab2f2fa8c2b3e,http://195.178.136.19/3,Phorpiex
90e6104462a969029a7c5b023ce811ef0c3ff93eb6bc72b0a0bf9e1baa722795,http://178.16.54.109/lfucky.exe,Global
99ed96d48e99828077d807f342cf13244af232c190088f12f548199a8ece8d97,http://178.16.54.109/v.exe,Global
c6def8e8fb6eaa582f7c5dc88a85723d4a868b04c4ea8f8584bb828417a4ab86,http://195.178.136.19/3,Phorpiex
b1a0fd0c9c72e68f74b654988423acb2a953427e83990c26c91e5e908ec66387,http://178.16.54.109/l15.exe,Global
770df171362179564bb433aa4c82502926c420482b7e6b8441a857c5934377ac,http://178.16.54.109/l14.exe,Global
38b9825abef45b2fb9e0efbfae7124499af85b9f328d4619ac8a37af274e7b4e,http://178.16.54.109/l13.exe,Global
823da032a4b7f64d6f3706f207d0f2a0cd44cd45b602193c4580403c2d4e8342,http://178.16.54.109/l12.exe,Global
23437efc7bf2f691678472e0080f4b22fa8e327d41781f95912ff6722a62f5fb,http://178.16.54.109/l11.exe,Global
4013d5545b490d4bdea2fbfc31cad82cd73e9d617ef5946ae9b9df19d6eada48,http://178.16.54.109/l10.exe,Global
8baadd5caf6014222b98656e875382126e719f53342591a47c29c408e10fbd60,http://178.16.54.109/l9.exe,Global
e7ba958cac186815f76fbc5809e479000a5a569034fd0425bf0fb512ac523639,http://178.16.54.109/l8.exe,Global
5b0684dde84168b41eb1d7022f490f0036a90ea3d00a37e35d69323887826628,http://178.16.54.109/l7.exe,Global
17c40dc8cfe53fc24d01df2ff4aad1d4914dd592b00d053762f12daec16c7035,http://178.16.54.109/l6.exe,Global
a858bbbfe1332816b23c8d46443b63f318958e6748c54e4b4040fd908d175d62,http://178.16.54.109/l5.exe,Global
43a000847d155da05e5c080587b4eb97cbeed61bf6b5d6a4062e5f459f387888,http://178.16.54.109/l4.exe,Global
4fc29cee350f69681728c009449f12682d90db8541459c505a2830a278be809b,http://178.16.54.109/l3.exe,Global
26c4a28e9bdd3f85433ced68c48d60ac89e44ff0bde47326d3d19bddc9399a83,http://178.16.54.109/l2.exe,Global
8ebb428ad35eceea596ffffc9bbf23b7ef3f09e4493eb894dade07eadb9f9652,http://178.16.54.109/l1.exe,Global
70cc64fb4dc5e32b9a8973be10e7e2d4378479f3521b5ab9bb044f76d1e2379b,http://195.178.136.19/3,Phorpiex
f6f7a37b49310287a253dbdf81e22f0593f44111215ca9308e46d2c68516196f,http://178.16.54.109/lfucky.exe,Global
55f3a2d89485bb40ea45e5fa1f24828f71a81ef4ccc541b6657fc7a861ef3add,http://178.16.54.109/lfuck.exe,Global
3a2dcd6c86a8b789c5f07eec531fd9a3d9268288d8cf47e9f324dacd55bb6cfc,http://195.178.136.19/5,Phorpiex
6fbd1d2192865099bd3772f6b77f269ab44be19a44ae41475486dbaf52ecba72,http://195.178.136.19/3,Phorpiex
75e5535a7b6aa384097fcb990c3ea85f8cbd1db87593dbf4f3d7fe7a619ba3ca,http://195.178.136.19/4,Phorpiex
e3648ed09ab275376cd8a111f3a8c32e254ee9739263d4f2ae3344037bdcca10,http://195.178.136.19/3,Phorpiex
04537e704df71330b1e7f1a3147796a5d0277fbe6922a2a304a9a526cdbfe059,http://195.178.136.19/3,Phorpiex
3bfe06669545cf2b91a149149cc23073d631e237f5aaac237dbe7da67b227477,http://195.178.136.19/1,Phorpiex
724e7d651f8d44249798db1a58ef9535ac956ac5e882c367475199c724a07c57,http://195.178.136.19/1,Phorpiex
ec05957677d0f2ab66da08278729b1849b8f926a9f3f8c9c33222b63d20afb7c,http://195.178.136.19/1,Phorpiex
51455bce4f49061e859cb4cc830f9d4b3478f9c7082b7b9f55febc68234a06f7,http://195.178.136.19/gnul,Phorpiex
bd9f942b1082ef254f72b9b82a04c196a6029c9cf900c034b4657719b191e4a8,http://194.38.20.95/3,Phorpiex
c77304e40bc3afc5e5b5b1f94395b4b64fc17b8fcd255970bdcf0c7cc0a507b2,http://194.38.20.95/1,XMRig
7436220538e6cded0c499167424975a2aacf93217dca40c683f0610b4f3eb3b7,http://194.38.20.95/mono,Phorpiex
c44375c99dd2886d0438f3c088439072604168cb53b90216f9a6f1b8d18db2fb,http://176.46.158.64/1,Phorpiex
805db6f001167b526485cfb9bd6fac5dbe7737af6a46100cc69348c9145bee4a,http://176.46.158.64/plop,Phorpiex
fe345c884a521223ec9482d7dc7e3583c080fb6c2fafd8c761fc4963240a9b2b,http://178.16.54.109/molop,Phorpiex
7f7ff6e97841e9cb49976b93e493ad04bf51cc3138f7b756e1d41ce3faf2b6dc,http://178.16.54.109/5,Phorpiex
ebd465cbb6b7718f33aac20528ffa75ae4ac433d8ab7c5c7a734c472f1c16a87,http://178.16.54.109/lk.exe,LockBit
c525acd224ed52353591c0924e60e84c051c10970ddbe6c87ae15ec15da97ec2,http://178.16.54.109/4,Phorpiex
85bf5ff6c1f1fcfbe5cd999dd4ca71c0c26f40b624c810fab29788aa275c09cb,http://178.16.54.109/stata,Phorpiex
926e7a5fc2df14280ddb9fad2a6a3a8101c4024cbce128f9feacb0f0c1e2070e,http://178.16.54.109/newtpp.exe,Phorpiex
e1c102d81d89d3d406917553c421c6b23cbd3333953a050d650f5394bfd6a73f,http://178.16.54.109/2,Phorpiex
8ac7bf6ead6c0068502f6473f7377239cdc44c6af728d5952500b8d5ae0ff157,http://178.16.54.109/1,XMRig
586a29bab56e5d7be8b7a783256b0458a4eca167c7d519fdbc8467ba2331e7e8,http://178.16.54.109/32.exe,Phorpiex
